utterance_id	batch	pattern	word_spaced	word_script	diphone_count	diphones
78	single	2	X u p e r n i X	_X u p e r n i X_	9	_-X X-u u-p p-e e-r r-n n-i i-X X-_
79	single	2	w a H e m x a q	_w a H e m x a q_	9	_-w w-a a-H H-e e-m m-x x-a a-q q-_
80	single	2	d u t. a. b z i w	_d u t. a. b z i w_	9	_-d d-u u-t. t.-a. a.-b b-z z-i i-w w-_
81	single	1	e t m e p x a	_e t m e p x a_	8	_-e e-t t-m m-e e-p p-x x-a a-_
82	single	1	i m r e X z e	_i m r e X z e_	8	_-i i-m m-r r-e e-X X-z z-e e-_
83	single	1	a q d i H x i	_a q d i H x i_	8	_-a a-q q-d d-i i-H H-x x-i i-_
84	single	1	a t j e H l i	_a t j e H l i_	8	_-a a-t t-j j-e e-H H-l l-i i-_
85	single	3	d i e X e i b	_d i e X e i b_	8	_-d d-i i-e e-X X-e e-i i-b b-_
86	single	1	a X x u ? t. i.	_a X x u ? t. i._	8	_-a a-X X-x x-u u-? ?-t. t.-i. i.-_
87	single	1	e z H u S m u	_e z H u S m u_	8	_-e e-z z-H H-u u-S S-m m-u u-_
88	single	1	a g ? u ? r e	_a g ? u ? r e_	8	_-a a-g g-? ?-u u-? ?-r r-e e-_
89	single	1	i S t e s. b i	_i S t e s. b i_	8	_-i i-S S-t t-e e-s. s.-b b-i i-_
90	single	3	t. u. u. H a i g	_t. u. u. H a i g_	8	_-t. t.-u. u.-u. u.-H H-a a-i i-g g-_
91	single	2	x u X i d j i r	_x u X i d j i r_	9	_-x x-u u-X X-i i-d d-j j-i i-r r-_
92	single	1	e X t. u. k l e	_e X t. u. k l e_	8	_-e e-X X-t. t.-u. u.-k k-l l-e e-_
93	single	3	t a e S a a x	_t a e S a a x_	8	_-t t-a a-e e-S S-a a-a a-x x-_
94	single	3	s. i. u. q a. i. d	_s. i. u. q a. i. d_	8	_-s. s.-i. i.-u. u.-q q-a. a.-i. i.-d d-_
95	single	1	u d s. i. m t. u.	_u d s. i. m t. u._	8	_-u u-d d-s. s.-i. i.-m m-t. t.-u. u.-_
96	single	3	q a. e. j u i d	_q a. e. j u i d_	8	_-q q-a. a.-e. e.-j j-u u-i i-d d-_
97	single	2	g i g a s. q i. H	_g i g a s. q i. H_	9	_-g g-i i-g g-a a-s. s.-q q-i. i.-H H-_
98	single	1	i t p a r q i.	_i t p a r q i._	8	_-i i-t t-p p-a a-r r-q q-i. i.-_
99	single	2	t u r a s s a j	_t u r a s s a j_	9	_-t t-u u-r r-a a-s s-s s-a a-j j-_
100	single	3	t. i. e. X a e k	_t. i. e. X a e k_	8	_-t. t.-i. i.-e. e.-X X-a a-e e-k k-_
101	single	2	t. a. q u. w p e b	_t. a. q u. w p e b_	9	_-t. t.-a. a.-q q-u. u.-w w-p p-e e-b b-_
102	single	1	u g s. i. x q u.	_u g s. i. x q u._	8	_-u u-g g-s. s.-i. i.-x x-q q-u. u.-_
103	single	2	l e t. a. S g u t.	_l e t. a. S g u t._	9	_-l l-e e-t. t.-a. a.-S S-g g-u u-t. t.-_
104	single	3	k u a w i a d	_k u a w i a d_	8	_-k k-u u-a a-w w-i i-a a-d d-_
105	single	1	i t q e. p s. i.	_i t q e. p s. i._	8	_-i i-t t-q q-e. e.-p p-s. s.-i. i.-_
106	single	1	i w g u b k i	_i w g u b k i_	8	_-i i-w w-g g-u u-b b-k k-i i-_
107	single	3	q u. e. t. u. i. s	_q u. e. t. u. i. s_	8	_-q q-u. u.-e. e.-t. t.-u. u.-i. i.-s s-_
108	single	1	a l x e j l e	_a l x e j l e_	8	_-a a-l l-x x-e e-j j-l l-e e-_
109	single	2	q i. l e r z a S	_q i. l e r z a S_	9	_-q q-i. i.-l l-e e-r r-z z-a a-S S-_
110	single	1	i n b u ? s. e.	_i n b u ? s. e._	8	_-i i-n n-b b-u u-? ?-s. s.-e. e.-_
111	single	1	i j s u z r i	_i j s u z r i_	8	_-i i-j j-s s-u u-z z-r r-i i-_
112	single	1	i s t e g H i	_i s t e g H i_	8	_-i i-s s-t t-e e-g g-H H-i i-_
113	single	1	a s q e. b t u	_a s q e. b t u_	8	_-a a-s s-q q-e. e.-b b-t t-u u-_
114	single	3	b a a p e u j	_b a a p e u j_	8	_-b b-a a-a a-p p-e e-u u-j j-_
115	single	3	q e. u. x i e k	_q e. u. x i e k_	8	_-q q-e. e.-u. u.-x x-i i-e e-k k-_
116	single	1	e ? l i k x u	_e ? l i k x u_	8	_-e e-? ?-l l-i i-k k-x x-u u-_
117	single	1	i z s. u. t s. e.	_i z s. u. t s. e._	8	_-i i-z z-s. s.-u. u.-t t-s. s.-e. e.-_
118	single	1	u x s. a. s m a	_u x s. a. s m a_	8	_-u u-x x-s. s.-a. a.-s s-m m-a a-_
119	single	1	a t t. e. p m u	_a t t. e. p m u_	8	_-a a-t t-t. t.-e. e.-p p-m m-u u-_
120	single	1	i b s. u. r p a	_i b s. u. r p a_	8	_-i i-b b-s. s.-u. u.-r r-p p-a a-_
121	single	1	u x q a. s. ? u	_u x q a. s. ? u_	8	_-u u-x x-q q-a. a.-s. s.-? ?-u u-_
122	single	1	a j q e. l x i	_a j q e. l x i_	8	_-a a-j j-q q-e. e.-l l-x x-i i-_
123	single	1	a z q e. r w a	_a z q e. r w a_	8	_-a a-z z-q q-e. e.-r r-w w-a a-_
124	single	1	i p q u. g l i	_i p q u. g l i_	8	_-i i-p p-q q-u. u.-g g-l l-i i-_
125	single	3	d e e q e. i. r	_d e e q e. i. r_	8	_-d d-e e-e e-q q-e. e.-i. i.-r r-_
126	single	1	a b q i. k S a	_a b q i. k S a_	8	_-a a-b b-q q-i. i.-k k-S S-a a-_
127	single	1	e ? r u j t. a.	_e ? r u j t. a._	8	_-e e-? ?-r r-u u-j j-t. t.-a. a.-_
128	single	1	i l t. a. ? q e.	_i l t. a. ? q e._	8	_-i i-l l-t. t.-a. a.-? ?-q q-e. e.-_
129	single	1	e m s. a. t. s. i.	_e m s. a. t. s. i._	8	_-e e-m m-s. s.-a. a.-t. t.-s. s.-i. i.-_
130	single	2	q u. s. e. t. b i s	_q u. s. e. t. b i s_	9	_-q q-u. u.-s. s.-e. e.-t. t.-b b-i i-s s-_
131	single	1	u t. s. e. z ? e	_u t. s. e. z ? e_	8	_-u u-t. t.-s. s.-e. e.-z z-? ?-e e-_
132	single	1	e l t. i. b n a	_e l t. i. b n a_	8	_-e e-l l-t. t.-i. i.-b b-n n-a a-_
133	single	3	? i a t. a. u. X	_? i a t. a. u. X_	8	_-? ?-i i-a a-t. t.-a. a.-u. u.-X X-_
134	single	1	e p p e z ? u	_e p p e z ? u_	8	_-e e-p p-p p-e e-z z-? ?-u u-_
135	single	3	g u i s. e. i. w	_g u i s. e. i. w_	8	_-g g-u u-i i-s. s.-e. e.-i. i.-w w-_
136	single	1	i r s. a. m n u	_i r s. a. m n u_	8	_-i i-r r-s. s.-a. a.-m m-n n-u u-_
137	single	1	e x t i ? w i	_e x t i ? w i_	8	_-e e-x x-t t-i i-? ?-w w-i i-_
138	single	1	e d b e x t i	_e d b e x t i_	8	_-e e-d d-b b-e e-x x-t t-i i-_
139	single	1	u l j u z t. a.	_u l j u z t. a._	8	_-u u-l l-j j-u u-z z-t. t.-a. a.-_
140	single	1	i X q e. S b i	_i X q e. S b i_	8	_-i i-X X-q q-e. e.-S S-b b-i i-_
141	single	1	a r q e. H k a	_a r q e. H k a_	8	_-a a-r r-q q-e. e.-H H-k k-a a-_
142	single	1	u n d e k k a	_u n d e k k a_	8	_-u u-n n-d d-e e-k k-k k-a a-_
143	single	2	s. i. q a. S S e r	_s. i. q a. S S e r_	9	_-s. s.-i. i.-q q-a. a.-S S-S S-e e-r r-_
144	single	1	a m q a. X q e.	_a m q a. X q e._	8	_-a a-m m-q q-a. a.-X X-q q-e. e.-_
145	single	3	t. i. a. z e u l	_t. i. a. z e u l_	8	_-t. t.-i. i.-a. a.-z z-e e-u u-l l-_
146	single	2	t. i. q u. S l e j	_t. i. q u. S l e j_	9	_-t. t.-i. i.-q q-u. u.-S S-l l-e e-j j-_
147	single	1	i t. H a b X i	_i t. H a b X i_	8	_-i i-t. t.-H H-a a-b b-X X-i i-_
148	single	1	i x z e ? ? u	_i x z e ? ? u_	8	_-i i-x x-z z-e e-? ?-? ?-u u-_
149	single	1	i H X e k n e	_i H X e k n e_	8	_-i i-H H-X X-e e-k k-n n-e e-_
150	single	1	u H m a t. l a	_u H m a t. l a_	8	_-u u-H H-m m-a a-t. t.-l l-a a-_
151	single	3	s. i. e. t. e. a. b	_s. i. e. t. e. a. b_	8	_-s. s.-i. i.-e. e.-t. t.-e. e.-a. a.-b b-_
152	single	1	i j X e g p a	_i j X e g p a_	8	_-i i-j j-X X-e e-g g-p p-a a-_
153	single	1	i ? s. i. w j a	_i ? s. i. w j a_	8	_-i i-? ?-s. s.-i. i.-w w-j j-a a-_
154	single	1	e H p u p w e	_e H p u p w e_	8	_-e e-H H-p p-u u-p p-w w-e e-_
155	single	1	i k q u. S z i	_i k q u. S z i_	8	_-i i-k k-q q-u. u.-S S-z z-i i-_
156	single	2	q a. q u. g j e t	_q a. q u. g j e t_	9	_-q q-a. a.-q q-u. u.-g g-j j-e e-t t-_
157	single	1	u n s. a. x t. e.	_u n s. a. x t. e._	8	_-u u-n n-s. s.-a. a.-x x-t. t.-e. e.-_
158	single	1	a X t. i. p l i	_a X t. i. p l i_	8	_-a a-X X-t. t.-i. i.-p p-l l-i i-_
159	single	2	s. i. q e. k s. a. n	_s. i. q e. k s. a. n_	9	_-s. s.-i. i.-q q-e. e.-k k-s. s.-a. a.-n n-_
160	single	3	d a i t. a. e. b	_d a i t. a. e. b_	8	_-d d-a a-i i-t. t.-a. a.-e. e.-b b-_
161	single	3	q u. a. q u. a. j	_q u. a. q u. a. j_	8	_-q q-u. u.-a. a.-q q-u. u.-a. a.-j j-_
162	single	1	a g s. a. r H i	_a g s. a. r H i_	8	_-a a-g g-s. s.-a. a.-r r-H H-i i-_
163	single	3	t. i. a. s. a. i. p	_t. i. a. s. a. i. p_	8	_-t. t.-i. i.-a. a.-s. s.-a. a.-i. i.-p p-_
164	single	2	l a s. e. k s. u. s	_l a s. e. k s. u. s_	9	_-l l-a a-s. s.-e. e.-k k-s. s.-u. u.-s s-_
165	single	1	e s. m i d H u	_e s. m i d H u_	8	_-e e-s. s.-m m-i i-d d-H H-u u-_
166	single	3	s. i. u. s. u. a. l	_s. i. u. s. u. a. l_	8	_-s. s.-i. i.-u. u.-s. s.-u. u.-a. a.-l l-_
167	single	1	u k q a. p d a	_u k q a. p d a_	8	_-u u-k k-q q-a. a.-p p-d d-a a-_
168	single	2	? e t a w q i. z	_? e t a w q i. z_	9	_-? ?-e e-t t-a a-w w-q q-i. i.-z z-_
169	single	3	t. e. u. b u e S	_t. e. u. b u e S_	8	_-t. t.-e. e.-u. u.-b b-u u-e e-S S-_
170	single	1	e b d i t n i	_e b d i t n i_	8	_-e e-b b-d d-i i-t t-n n-i i-_
171	single	2	n a q e. s t. u. s	_n a q e. s t. u. s_	9	_-n n-a a-q q-e. e.-s s-t. t.-u. u.-s s-_
172	single	2	q u. s. e. t j i t.	_q u. s. e. t j i t._	9	_-q q-u. u.-s. s.-e. e.-t t-j j-i i-t. t.-_
173	single	1	a n s. i. n l e	_a n s. i. n l e_	8	_-a a-n n-s. s.-i. i.-n n-l l-e e-_
174	single	1	a S s. e. p s a	_a S s. e. p s a_	8	_-a a-S S-s. s.-e. e.-p p-s s-a a-_
175	single	2	t. i. t i s s. e. t	_t. i. t i s s. e. t_	9	_-t. t.-i. i.-t t-i i-s s-s. s.-e. e.-t t-_
176	single	2	q i. l u s. x u w	_q i. l u s. x u w_	9	_-q q-i. i.-l l-u u-s. s.-x x-u u-w w-_
177	single	1	u k w a k H u	_u k w a k H u_	8	_-u u-k k-w w-a a-k k-H H-u u-_
178	single	1	u w s. a. S x i	_u w s. a. S x i_	8	_-u u-w w-s. s.-a. a.-S S-x x-i i-_
179	single	3	t. u. e. s. u. u. ?	_t. u. e. s. u. u. ?_	8	_-t. t.-u. u.-e. e.-s. s.-u. u.-u. u.-? ?-_
180	single	1	i p k i m t u	_i p k i m t u_	8	_-i i-p p-k k-i i-m m-t t-u u-_
181	single	1	i q t. i. s. X i	_i q t. i. s. X i_	8	_-i i-q q-t. t.-i. i.-s. s.-X X-i i-_
182	single	3	q i. i. S u u g	_q i. i. S u u g_	8	_-q q-i. i.-i. i.-S S-u u-u u-g g-_
183	single	1	a ? s. u. j t. i.	_a ? s. u. j t. i._	8	_-a a-? ?-s. s.-u. u.-j j-t. t.-i. i.-_
184	single	1	u s. s. u. l l a	_u s. s. u. l l a_	8	_-u u-s. s.-s. s.-u. u.-l l-l l-a a-_
185	single	1	u s q e. w j a	_u s q e. w j a_	8	_-u u-s s-q q-e. e.-w w-j j-a a-_
186	single	2	t. i. k i s. t. i. s	_t. i. k i s. t. i. s_	9	_-t. t.-i. i.-k k-i i-s. s.-t. t.-i. i.-s s-_
187	single	1	u p s. u. m j u	_u p s. u. m j u_	8	_-u u-p p-s. s.-u. u.-m m-j j-u u-_
188	single	1	e X g e w m a	_e X g e w m a_	8	_-e e-X X-g g-e e-w w-m m-a a-_
189	single	2	q a. w i g s. e. d	_q a. w i g s. e. d_	9	_-q q-a. a.-w w-i i-g g-s. s.-e. e.-d d-_
190	single	1	i d n i X k u	_i d n i X k u_	8	_-i i-d d-n n-i i-X X-k k-u u-_
191	single	1	a d s. i. ? s i	_a d s. i. ? s i_	8	_-a a-d d-s. s.-i. i.-? ?-s s-i i-_
192	single	1	i H s. u. m X u	_i H s. u. m X u_	8	_-i i-H H-s. s.-u. u.-m m-X X-u u-_
193	single	2	t. i. j i t q a. w	_t. i. j i t q a. w_	9	_-t. t.-i. i.-j j-i i-t t-q q-a. a.-w w-_
194	single	1	e n q u. t. p i	_e n q u. t. p i_	8	_-e e-n n-q q-u. u.-t. t.-p p-i i-_
195	single	1	u t d a g g a	_u t d a g g a_	8	_-u u-t t-d d-a a-g g-g g-a a-_
196	single	2	w u l u X s. e. n	_w u l u X s. e. n_	9	_-w w-u u-l l-u u-X X-s. s.-e. e.-n n-_
197	single	1	a S t. i. H g u	_a S t. i. H g u_	8	_-a a-S S-t. t.-i. i.-H H-g g-u u-_
198	single	1	e j s. u. z X u	_e j s. u. z X u_	8	_-e e-j j-s. s.-u. u.-z z-X X-u u-_
199	single	1	a X s. u. p z a	_a X s. u. p z a_	8	_-a a-X X-s. s.-u. u.-p p-z z-a a-_
200	single	3	t. i. i. X a i X	_t. i. i. X a i X_	8	_-t. t.-i. i.-i. i.-X X-a a-i i-X X-_
201	single	1	u g t. e. X t i	_u g t. e. X t i_	8	_-u u-g g-t. t.-e. e.-X X-t t-i i-_
202	single	1	a k r e d t. a.	_a k r e d t. a._	8	_-a a-k k-r r-e e-d d-t. t.-a. a.-_
203	single	1	i m s. e. r l u	_i m s. e. r l u_	8	_-i i-m m-s. s.-e. e.-r r-l l-u u-_
204	single	1	e s. t e z p u	_e s. t e z p u_	8	_-e e-s. s.-t t-e e-z z-p p-u u-_
205	single	1	i S q i. t. k e	_i S q i. t. k e_	8	_-i i-S S-q q-i. i.-t. t.-k k-e e-_
206	single	1	i r t. e. j q a.	_i r t. e. j q a._	8	_-i i-r r-t. t.-e. e.-j j-q q-a. a.-_
207	single	1	u s. ? i g m i	_u s. ? i g m i_	8	_-u u-s. s.-? ?-i i-g g-m m-i i-_
208	single	3	q a. a. t. i. u. k	_q a. a. t. i. u. k_	8	_-q q-a. a.-a. a.-t. t.-i. i.-u. u.-k k-_
209	single	1	e m ? i H q a.	_e m ? i H q a._	8	_-e e-m m-? ?-i i-H H-q q-a. a.-_
210	single	1	e d s i ? g e	_e d s i ? g e_	8	_-e e-d d-s s-i i-? ?-g g-e e-_
211	single	1	e t. t. i. k ? a	_e t. t. i. k ? a_	8	_-e e-t. t.-t. t.-i. i.-k k-? ?-a a-_
212	single	1	a l s. a. n n a	_a l s. a. n n a_	8	_-a a-l l-s. s.-a. a.-n n-n n-a a-_
213	single	1	a x j a H n u	_a x j a H n u_	8	_-a a-x x-j j-a a-H H-n n-u u-_
214	single	2	d e t. i. g r e s.	_d e t. i. g r e s._	9	_-d d-e e-t. t.-i. i.-g g-r r-e e-s. s.-_
215	single	1	i k t. u. l k i	_i k t. u. l k i_	8	_-i i-k k-t. t.-u. u.-l l-k k-i i-_
216	single	3	s. a. e. q i. a. g	_s. a. e. q i. a. g_	8	_-s. s.-a. a.-e. e.-q q-i. i.-a. a.-g g-_
217	single	1	u m z e m p a	_u m z e m p a_	8	_-u u-m m-z z-e e-m m-p p-a a-_
218	single	1	i r m a b ? u	_i r m a b ? u_	8	_-i i-r r-m m-a a-b b-? ?-u u-_
219	single	1	u n t a X H a	_u n t a X H a_	8	_-u u-n n-t t-a a-X X-H H-a a-_
220	single	3	x u i q a. u. X	_x u i q a. u. X_	8	_-x x-u u-i i-q q-a. a.-u. u.-X X-_
221	single	1	a w b i q z a	_a w b i q z a_	8	_-a a-w w-b b-i i-q q-z z-a a-_
222	single	1	e p t. u. w p e	_e p t. u. w p e_	8	_-e e-p p-t. t.-u. u.-w w-p p-e e-_
223	single	1	e t k u p r u	_e t k u p r u_	8	_-e e-t t-k k-u u-p p-r r-u u-_
224	single	1	e b t. e. ? x i	_e b t. e. ? x i_	8	_-e e-b b-t. t.-e. e.-? ?-x x-i i-_
225	single	1	i d q e. H m u	_i d q e. H m u_	8	_-i i-d d-q q-e. e.-H H-m m-u u-_
226	single	1	u S t. u. r X a	_u S t. u. r X a_	8	_-u u-S S-t. t.-u. u.-r r-X X-a a-_
227	single	1	a x s. a. r g a	_a x s. a. r g a_	8	_-a a-x x-s. s.-a. a.-r r-g g-a a-_
228	single	1	e q X u r d u	_e q X u r d u_	8	_-e e-q q-X X-u u-r r-d d-u u-_
229	single	1	e d x u t X u	_e d x u t X u_	8	_-e e-d d-x x-u u-t t-X X-u u-_
230	single	1	i s. t. u. n j a	_i s. t. u. n j a_	8	_-i i-s. s.-t. t.-u. u.-n n-j j-a a-_
231	single	1	u d ? i x p u	_u d ? i x p u_	8	_-u u-d d-? ?-i i-x x-p p-u u-_
232	single	1	a w z i t H i	_a w z i t H i_	8	_-a a-w w-z z-i i-t t-H H-i i-_
233	single	1	e p q a. g w e	_e p q a. g w e_	8	_-e e-p p-q q-a. a.-g g-w w-e e-_
234	single	1	u s t. i. d r u	_u s t. i. d r u_	8	_-u u-s s-t. t.-i. i.-d d-r r-u u-_
235	single	1	a X X a ? H u	_a X X a ? H u_	8	_-a a-X X-X X-a a-? ?-H H-u u-_
